# P2 pivot elimination scan, lattices L in [3200, 200000]
# pool S(L) = {m | L : m>=3, 2m+1 prime};  tests: budget>1 and Phi_q>=1 for q | L
# SCOPE: a KILL only rules out pivot coverings whose lcm divides L. Not a proof for H\{2}.
  L = 41400    |S| =  30 budget 1.31370  SURVIVES ->  needs SAT   pool: 3 5 8280 6 8 9 15 2760 18 20 23 1656 30 36 900 50 828 690 69 600 575 75 90 414 120 345 138 300 230 200
  L = 41580    |S| =  44 budget 1.46544  SURVIVES ->  needs SAT   pool: 3 5 8316 6 9 4620 4158 11 3780 14 15 18 2310 20 2079 21 1485 30 33 1260 35 1188 36 1155 44 54 63 660 495 90 99 105 378 330 315 135 308 140 270 165 231 189 198 210
  L = 41760    |S| =  29 budget 1.28233  SURVIVES ->  needs SAT   pool: 20880 3 5 6 6960 8 9 4640 4176 3480 15 2784 18 20 2088 29 30 36 1044 48 870 90 464 96 116 120 288 261 174
  L = 42000    |S| =  36 budget 1.26236  NODECAP q=5 -> UNDECIDED
  L = 42120    |S| =  37 budget 1.35188  NODECAP q=3 -> UNDECIDED
  L = 42840    |S| =  47 budget 1.47411  SURVIVES ->  needs SAT   pool: 21420 3 5 8568 6 7140 6120 8 5355 9 4760 14 3060 15 18 20 21 1785 1530 30 1428 1260 35 36 1190 1071 51 56 765 714 63 680 68 510 504 90 476 105 119 120 315 140 306 153 168 204 210
  L = 43200    |S| =  36 budget 1.31106  SURVIVES ->  needs SAT   pool: 21600 3 10800 5 6 7200 8 9 4800 4320 15 18 2400 20 1728 30 36 1080 48 900 50 54 800 600 75 576 90 96 120 135 320 300 288 270 200 216
  L = 43470    |S| =  35 budget 1.27757  NODECAP q=3 -> UNDECIDED
  L = 43560    |S| =  30 budget 1.36938  SURVIVES ->  needs SAT   pool: 43560 3 5 6 8 5445 9 4356 11 15 18 20 2178 1815 30 33 36 1089 44 726 660 495 90 99 440 120 363 330 165 198
  L = 43680    |S| =  37 budget 1.33013  SURVIVES ->  needs SAT   pool: 3 10920 5 6 7280 8 4368 14 15 20 21 26 1680 1560 30 1365 35 39 1040 48 56 65 624 78 546 96 455 105 120 336 140 156 273 168 260 224 210
  L = 44100    |S| =  39 budget 1.30746  SURVIVES ->  needs SAT   pool: 22050 3 14700 11025 5 6 6300 9 4410 3675 14 3150 15 2940 18 20 21 2100 1764 30 35 1260 36 900 50 735 63 75 525 90 98 441 105 350 140 315 300 245 210
  L = 44280    |S| =  26 budget 1.25680  SURVIVES ->  needs SAT   pool: 22140 3 5 8856 6 8 5535 9 15 18 20 1845 30 1476 36 41 1080 54 615 90 410 120 369 135 270 216
  L = 44352    |S| =  36 budget 1.20254  NODECAP q=2 -> UNDECIDED
  L = 44460    |S| =  32 budget 1.19631  SURVIVES ->  needs SAT   pool: 3 14820 5 6 7410 9 4446 3705 3420 15 18 20 2223 26 30 36 1170 39 1140 741 65 585 78 90 95 468 114 380 156 285 260 228
  L = 44520    |S| =  26 budget 1.20209  SURVIVES ->  needs SAT   pool: 44520 3 5 6 6360 8 5565 14 3180 15 20 21 2120 1590 30 1484 35 53 56 530 105 120 371 140 168 210
  L = 44640    |S| =  27 budget 1.24158  SURVIVES ->  needs SAT   pool: 22320 3 14880 5 6 8 5580 9 4464 15 2976 2790 18 20 30 1395 36 48 930 744 558 90 96 120 155 288 186
  L = 45000    |S| =  26 budget 1.24607  NODECAP q=5 -> UNDECIDED
  L = 45360    |S| =  46 budget 1.49215  NODECAP q=3 -> UNDECIDED
  L = 45540    |S| =  36 budget 1.30922  SURVIVES ->  needs SAT   pool: 45540 22770 3 5 9108 6 9 4554 11 3795 15 3036 18 20 23 30 1518 33 36 1265 44 828 690 69 660 90 506 495 99 414 345 138 330 165 198 230
  L = 46200    |S| =  44 budget 1.39348  NODECAP q=5 -> UNDECIDED
  L = 46440    |S| =  26 budget 1.24679  SURVIVES ->  needs SAT   pool: 23220 3 5 6 8 9 5160 3870 15 18 20 30 36 1080 54 860 774 645 86 90 516 120 135 270 215 216
  L = 46620    |S| =  34 budget 1.27304  SURVIVES ->  needs SAT   pool: 46620 3 15540 11655 5 6 7770 9 14 3330 15 3108 18 20 2331 21 2220 1665 30 1554 35 36 1295 1260 1110 63 740 74 90 105 111 140 315 210
  L = 46800    |S| =  38 budget 1.36893  SURVIVES ->  needs SAT   pool: 46800 3 5 6 7800 8 5850 9 15 2925 18 20 26 30 1560 36 39 1170 1040 48 975 50 936 900 65 650 75 624 78 600 585 90 468 120 156 300 260 200
  L = 47040    |S| =  32 budget 1.23686  NODECAP q=2 -> UNDECIDED
  L = 47250    |S| =  30 budget 1.24650  NODECAP q=5 -> UNDECIDED
  L = 47520    |S| =  41 budget 1.44272  SURVIVES ->  needs SAT   pool: 23760 3 11880 5 9504 6 8 9 11 4320 15 3168 18 2640 20 30 1584 1485 33 36 1188 44 1080 1056 48 54 660 90 96 495 99 440 120 135 330 165 288 176 270 198 216
  L = 47880    |S| =  38 budget 1.43797  SURVIVES ->  needs SAT   pool: 23940 3 5 6 6840 8 5985 9 14 3420 15 18 20 2394 21 2280 30 35 36 1260 1140 1064 56 798 63 90 95 504 105 114 120 380 140 315 168 285 210 228
  L = 48510    |S| =  34 budget 1.33055  SURVIVES ->  needs SAT   pool: 48510 3 16170 5 6 9 5390 11 4410 14 15 3234 18 21 2310 30 33 35 1155 63 735 90 98 495 99 105 441 330 315 165 198 245 210 231
  L = 48600    |S| =  36 budget 1.29257  NODECAP q=3 -> UNDECIDED
  L = 48720    |S| =  30 budget 1.25445  SURVIVES ->  needs SAT   pool: 48720 3 5 9744 6 6960 8 14 3480 15 3045 20 21 29 1680 30 35 1218 48 56 870 105 464 116 120 140 336 168 174 210
  L = 48960    |S| =  32 budget 1.28438  NODECAP q=2 -> UNDECIDED
  L = 49140    |S| =  44 budget 1.39949  SURVIVES ->  needs SAT   pool: 3 12285 5 6 8190 9 4914 4095 3780 14 15 3276 18 20 21 26 1755 30 35 36 1365 39 1260 1170 54 63 65 78 585 90 546 105 468 455 378 135 140 156 315 273 270 189 260 210
